央视,#genre#
肥城综合,http://ipipip/udp/239.21.2.161:5002
岱岳有线,http://ipipip/udp/239.21.2.139:5002
新泰综合,http://ipipip/udp/239.21.1.210:5002
新泰乡村,http://ipipip/udp/239.21.1.248:5002
宁阳综合,http://ipipip/udp/239.21.1.143:5002
宁阳影视,http://ipipip/udp/239.21.1.144:5002
东平新闻,http://ipipip/udp/239.21.1.216:5002
威海新闻,http://ipipip/udp/239.21.2.155:5002
威海都市生活,http://ipipip/udp/239.21.2.156:5002
文登综合,http://ipipip/udp/239.21.1.174:5002
荣成综合,http://ipipip/udp/239.21.1.227:5002
乳山综合,http://ipipip/udp/239.21.1.220:5002
日照新闻,http://ipipip/udp/239.21.1.79:5002
日照科教,http://ipipip/udp/239.21.1.80:5002
日照公共,http://ipipip/udp/239.21.2.81:5002
莒县综合,http://ipipip/udp/239.21.1.236:5002
岚山综合,http://ipipip/udp/239.21.1.209:5002
河东综合,http://ipipip/udp/239.21.2.136:5002
沂水综合,http://ipipip/udp/239.21.2.79:5002
沂水生活,http://ipipip/udp/239.21.2.80:5002
兰陵综合,http://ipipip/udp/239.21.1.237:5002
兰陵公共,http://ipipip/udp/239.21.2.63:5002
五莲新闻,http://ipipip/udp/239.21.1.249:5002
蒙阴综合,http://ipipip/udp/239.21.2.23:5002
临沭综合,http://ipipip/udp/239.21.2.154:5002
莒南综合,http://ipipip/udp/239.21.2.66:5002
德州新闻综合,http://ipipip/udp/239.21.1.75:5002
德州经济生活,http://ipipip/udp/239.21.1.76:5002
陵城新闻,http://ipipip/udp/239.21.2.24:5002
禹城综合,http://ipipip/udp/239.21.1.241:5002
禹城综艺,http://ipipip/udp/239.21.1.242:5002
宁津综合,http://ipipip/udp/239.21.2.50:5002
齐河综合,http://ipipip/udp/239.21.1.230:5002
武城新闻,http://ipipip/udp/239.21.1.239:5002
武城综艺影视,http://ipipip/udp/239.21.1.240:5002
平原新闻,http://ipipip/udp/239.21.1.243:5002
夏津新闻,http://ipipip/udp/239.21.1.106:5002
夏津公共,http://ipipip/udp/239.21.1.102:5002
临邑综合,http://ipipip/udp/239.21.2.130:5002
聊城综合,http://ipipip/udp/239.21.1.253:5002
聊城民生,http://ipipip/udp/239.21.1.254:5002
茌平新闻,http://ipipip/udp/239.21.1.219:5002
临清综合,http://ipipip/udp/239.21.2.123:5002
莘县综合,http://ipipip/udp/239.21.1.211:5002
冠县综合,http://ipipip/udp/239.21.1.250:5002
东阿综合,http://ipipip/udp/239.21.2.61:5002
滨州综合,http://ipipip/udp/239.21.1.238:5002
滨州民生,http://ipipip/udp/239.21.1.119:5002
沾化综合,http://ipipip/udp/239.21.1.226:5002
邹平新闻,http://ipipip/udp/239.21.1.238:5002
惠民综合,http://ipipip/udp/239.21.1.181:5002
阳信新闻,http://ipipip/udp/239.21.1.252:5002
无棣新闻,http://ipipip/udp/239.21.1.214:5002
菏泽新闻,http://ipipip/udp/239.21.1.103:5002
菏泽生活,http://ipipip/udp/239.21.2.18:5002
定陶TV-1,http://ipipip/udp/239.21.1.244:5002
单县综合,http://ipipip/udp/239.21.2.21:5002
鄄城新闻,http://ipipip/udp/239.21.2.141:5002
郓城综合,http://ipipip/udp/239.21.1.251:5002
巨野新闻,http://ipipip/udp/239.21.1.215:5002
东明新闻,http://ipipip/udp/239.21.1.246:5002

数字,#genre#
北京纪实科教,http://ipipip/udp/239.21.1.172:5002
金鹰纪实高清,http://ipipip/udp/239.21.1.170:5002
